index,gene_id
0,ENSG00000000003
1,ENSG00000000005
2,ENSG00000000419
3,ENSG00000000457
4,ENSG00000000460
5,ENSG00000000938
6,ENSG00000000971
7,ENSG00000001036
8,ENSG00000001084
9,ENSG00000001167
10,ENSG00000001460
11,ENSG00000001461
12,ENSG00000001497
13,ENSG00000001561
14,ENSG00000001617
15,ENSG00000001626
16,ENSG00000001629
17,ENSG00000001630
18,ENSG00000001631
19,ENSG00000002016
20,ENSG00000002330
21,ENSG00000002549
22,ENSG00000002586
23,ENSG00000002587
24,ENSG00000002726
25,ENSG00000002745
26,ENSG00000002746
27,ENSG00000002822
28,ENSG00000002834
29,ENSG00000002919
30,ENSG00000002933
31,ENSG00000003056
32,ENSG00000003096
33,ENSG00000003137
34,ENSG00000003147
35,ENSG00000003249
36,ENSG00000003393
37,ENSG00000003400
38,ENSG00000003402
39,ENSG00000003436
40,ENSG00000003509
41,ENSG00000003756
42,ENSG00000003987
43,ENSG00000003989
44,ENSG00000004059
45,ENSG00000004139
46,ENSG00000004142
47,ENSG00000004399
48,ENSG00000004455
49,ENSG00000004468
50,ENSG00000004478
51,ENSG00000004487
52,ENSG00000004534
53,ENSG00000004660
54,ENSG00000004700
55,ENSG00000004766
56,ENSG00000004776
57,ENSG00000004777
58,ENSG00000004779
59,ENSG00000004799
60,ENSG00000004809
61,ENSG00000004838
62,ENSG00000004846
63,ENSG00000004848
64,ENSG00000004864
65,ENSG00000004866
66,ENSG00000004897
67,ENSG00000004939
68,ENSG00000004948
69,ENSG00000004961
70,ENSG00000004975
71,ENSG00000005001
72,ENSG00000005007
73,ENSG00000005020
74,ENSG00000005022
75,ENSG00000005059
76,ENSG00000005073
77,ENSG00000005075
78,ENSG00000005100
79,ENSG00000005102
80,ENSG00000005108
81,ENSG00000005156
82,ENSG00000005175
83,ENSG00000005187
84,ENSG00000005189
85,ENSG00000005194
86,ENSG00000005206
87,ENSG00000005238
88,ENSG00000005243
89,ENSG00000005249
90,ENSG00000005302
91,ENSG00000005339
92,ENSG00000005379
93,ENSG00000005381
94,ENSG00000005421
95,ENSG00000005436
96,ENSG00000005448
97,ENSG00000005469
98,ENSG00000005471
99,ENSG00000005483
100,ENSG00000005486
101,ENSG00000005513
102,ENSG00000005700
103,ENSG00000005801
104,ENSG00000005810
105,ENSG00000005812
106,ENSG00000005844
107,ENSG00000005882
108,ENSG00000005884
109,ENSG00000005889
110,ENSG00000005893
111,ENSG00000005961
112,ENSG00000005981
113,ENSG00000006007
114,ENSG00000006015
115,ENSG00000006016
116,ENSG00000006025
117,ENSG00000006042
118,ENSG00000006047
119,ENSG00000006059
120,ENSG00000006062
121,ENSG00000006071
122,ENSG00000006116
123,ENSG00000006118
124,ENSG00000006125
125,ENSG00000006128
126,ENSG00000006194
127,ENSG00000006210
128,ENSG00000006282
129,ENSG00000006283
130,ENSG00000006327
131,ENSG00000006377
132,ENSG00000006432
133,ENSG00000006451
134,ENSG00000006453
135,ENSG00000006459
136,ENSG00000006468
137,ENSG00000006530
138,ENSG00000006534
139,ENSG00000006555
140,ENSG00000006576
141,ENSG00000006606
142,ENSG00000006607
143,ENSG00000006611
144,ENSG00000006625
145,ENSG00000006634
146,ENSG00000006638
147,ENSG00000006652
148,ENSG00000006659
149,ENSG00000006695
150,ENSG00000006704
151,ENSG00000006712
152,ENSG00000006715
153,ENSG00000006740
154,ENSG00000006744
155,ENSG00000006747
156,ENSG00000006756
157,ENSG00000006757
158,ENSG00000006788
159,ENSG00000006831
160,ENSG00000006837
161,ENSG00000007001
162,ENSG00000007038
163,ENSG00000007047
164,ENSG00000007062
165,ENSG00000007080
166,ENSG00000007129
167,ENSG00000007168
168,ENSG00000007171
169,ENSG00000007174
170,ENSG00000007202
171,ENSG00000007216
172,ENSG00000007237
173,ENSG00000007255
174,ENSG00000007264
175,ENSG00000007306
176,ENSG00000007312
177,ENSG00000007314
178,ENSG00000007341
179,ENSG00000007350
180,ENSG00000007372
181,ENSG00000007376
182,ENSG00000007384
183,ENSG00000007392
184,ENSG00000007402
185,ENSG00000007516
186,ENSG00000007520
187,ENSG00000007541
188,ENSG00000007545
189,ENSG00000007866
190,ENSG00000007908
191,ENSG00000007923
192,ENSG00000007933
193,ENSG00000007944
194,ENSG00000007952
195,ENSG00000007968
196,ENSG00000008018
197,ENSG00000008056
198,ENSG00000008083
199,ENSG00000008086
200,ENSG00000008118
201,ENSG00000008128
202,ENSG00000008130
203,ENSG00000008196
204,ENSG00000008197
205,ENSG00000008226
206,ENSG00000008256
207,ENSG00000008277
208,ENSG00000008282
209,ENSG00000008283
210,ENSG00000008294
211,ENSG00000008300
212,ENSG00000008311
213,ENSG00000008323
214,ENSG00000008324
215,ENSG00000008382
216,ENSG00000008394
217,ENSG00000008405
218,ENSG00000008438
219,ENSG00000008441
220,ENSG00000008513
221,ENSG00000008516
222,ENSG00000008517
223,ENSG00000008710
224,ENSG00000008735
225,ENSG00000008838
226,ENSG00000008853
227,ENSG00000008869
228,ENSG00000008952
229,ENSG00000008988
230,ENSG00000009307
231,ENSG00000009335
232,ENSG00000009413
233,ENSG00000009694
234,ENSG00000009709
235,ENSG00000009724
236,ENSG00000009765
237,ENSG00000009780
238,ENSG00000009790
239,ENSG00000009830
240,ENSG00000009844
241,ENSG00000009950
242,ENSG00000009954
243,ENSG00000010017
244,ENSG00000010030
245,ENSG00000010072
246,ENSG00000010165
247,ENSG00000010219
248,ENSG00000010244
249,ENSG00000010256
250,ENSG00000010270
251,ENSG00000010278
252,ENSG00000010282
253,ENSG00000010292
254,ENSG00000010295
255,ENSG00000010310
256,ENSG00000010318
257,ENSG00000010319
258,ENSG00000010322
259,ENSG00000010327
260,ENSG00000010361
261,ENSG00000010379
262,ENSG00000010404
263,ENSG00000010438
264,ENSG00000010539
265,ENSG00000010610
266,ENSG00000010626
267,ENSG00000010671
268,ENSG00000010704
269,ENSG00000010803
270,ENSG00000010810
271,ENSG00000010818
272,ENSG00000010932
273,ENSG00000011007
274,ENSG00000011009
275,ENSG00000011021
276,ENSG00000011028
277,ENSG00000011083
278,ENSG00000011105
279,ENSG00000011114
280,ENSG00000011132
281,ENSG00000011143
282,ENSG00000011198
283,ENSG00000011201
284,ENSG00000011243
285,ENSG00000011258
286,ENSG00000011260
287,ENSG00000011275
288,ENSG00000011295
289,ENSG00000011304
290,ENSG00000011332
291,ENSG00000011347
292,ENSG00000011376
293,ENSG00000011405
294,ENSG00000011422
295,ENSG00000011426
296,ENSG00000011451
297,ENSG00000011454
298,ENSG00000011465
299,ENSG00000011478
300,ENSG00000011485
301,ENSG00000011523
302,ENSG00000011566
303,ENSG00000011590
304,ENSG00000011600
305,ENSG00000011638
306,ENSG00000011677
307,ENSG00000012048
308,ENSG00000012061
309,ENSG00000012124
310,ENSG00000012171
311,ENSG00000012174
312,ENSG00000012211
313,ENSG00000012223
314,ENSG00000012232
315,ENSG00000012504
316,ENSG00000012660
317,ENSG00000012779
318,ENSG00000012817
319,ENSG00000012822
320,ENSG00000012963
321,ENSG00000012983
322,ENSG00000013016
323,ENSG00000013275
324,ENSG00000013288
325,ENSG00000013293
326,ENSG00000013297
327,ENSG00000013306
328,ENSG00000013364
329,ENSG00000013374
330,ENSG00000013375
331,ENSG00000013392
332,ENSG00000013441
333,ENSG00000013503
334,ENSG00000013523
335,ENSG00000013561
336,ENSG00000013563
337,ENSG00000013573
338,ENSG00000013583
339,ENSG00000013588
340,ENSG00000013619
341,ENSG00000013725
342,ENSG00000013810
343,ENSG00000014123
344,ENSG00000014138
345,ENSG00000014164
346,ENSG00000014216
347,ENSG00000014257
348,ENSG00000014641
349,ENSG00000014824
350,ENSG00000014914
351,ENSG00000014919
352,ENSG00000015133
353,ENSG00000015153
354,ENSG00000015171
355,ENSG00000015285
356,ENSG00000015413
357,ENSG00000015475
358,ENSG00000015479
359,ENSG00000015520
360,ENSG00000015532
361,ENSG00000015568
362,ENSG00000015592
363,ENSG00000015676
364,ENSG00000016082
365,ENSG00000016391
366,ENSG00000016402
367,ENSG00000016490
368,ENSG00000016602
369,ENSG00000016864
370,ENSG00000017260
371,ENSG00000017427
372,ENSG00000017483
373,ENSG00000017797
374,ENSG00000018189
375,ENSG00000018236
376,ENSG00000018280
377,ENSG00000018408
378,ENSG00000018510
379,ENSG00000018610
380,ENSG00000018625
381,ENSG00000018699
382,ENSG00000018869
383,ENSG00000019102
384,ENSG00000019144
385,ENSG00000019169
386,ENSG00000019186
387,ENSG00000019485
388,ENSG00000019505
389,ENSG00000019549
390,ENSG00000019582
391,ENSG00000019991
392,ENSG00000019995
393,ENSG00000020129
394,ENSG00000020181
395,ENSG00000020256
396,ENSG00000020426
397,ENSG00000020577
398,ENSG00000020633
399,ENSG00000020922
400,ENSG00000021300
401,ENSG00000021355
402,ENSG00000021461
403,ENSG00000021488
404,ENSG00000021574
405,ENSG00000021645
406,ENSG00000021762
407,ENSG00000021776
408,ENSG00000021826
409,ENSG00000021852
410,ENSG00000022267
411,ENSG00000022277
412,ENSG00000022355
413,ENSG00000022556
414,ENSG00000022567
415,ENSG00000022840
416,ENSG00000022976
417,ENSG00000023041
418,ENSG00000023171
419,ENSG00000023191
420,ENSG00000023228
421,ENSG00000023287
422,ENSG00000023318
423,ENSG00000023330
424,ENSG00000023445
425,ENSG00000023516
426,ENSG00000023572
427,ENSG00000023608
428,ENSG00000023697
429,ENSG00000023734
430,ENSG00000023839
431,ENSG00000023892
432,ENSG00000023902
433,ENSG00000023909
434,ENSG00000024048
435,ENSG00000024422
436,ENSG00000024526
437,ENSG00000024862
438,ENSG00000025039
439,ENSG00000025156
440,ENSG00000025293
441,ENSG00000025423
442,ENSG00000025434
443,ENSG00000025708
444,ENSG00000025770
445,ENSG00000025772
446,ENSG00000025796
447,ENSG00000025800
448,ENSG00000026025
449,ENSG00000026103
450,ENSG00000026297
451,ENSG00000026508
452,ENSG00000026559
453,ENSG00000026652
454,ENSG00000026751
455,ENSG00000026950
456,ENSG00000027001
457,ENSG00000027075
458,ENSG00000027644
459,ENSG00000027697
460,ENSG00000027847
461,ENSG00000027869
462,ENSG00000028116
463,ENSG00000028137
464,ENSG00000028203
465,ENSG00000028277
466,ENSG00000028310
467,ENSG00000028528
468,ENSG00000028839
469,ENSG00000029153
470,ENSG00000029363
471,ENSG00000029364
472,ENSG00000029534
473,ENSG00000029559
474,ENSG00000029639
475,ENSG00000029725
476,ENSG00000029993
477,ENSG00000030066
478,ENSG00000030110
479,ENSG00000030304
480,ENSG00000030419
481,ENSG00000030582
482,ENSG00000031003
483,ENSG00000031081
484,ENSG00000031691
485,ENSG00000031698
486,ENSG00000031823
487,ENSG00000032219
488,ENSG00000032389
489,ENSG00000032444
490,ENSG00000032742
491,ENSG00000033011
492,ENSG00000033030
493,ENSG00000033050
494,ENSG00000033100
495,ENSG00000033122
496,ENSG00000033170
497,ENSG00000033178
498,ENSG00000033327
499,ENSG00000033627
500,ENSG00000033800
501,ENSG00000033867
502,ENSG00000034053
503,ENSG00000034152
504,ENSG00000034239
505,ENSG00000034510
506,ENSG00000034533
507,ENSG00000034677
508,ENSG00000034693
509,ENSG00000034713
510,ENSG00000034971
511,ENSG00000035115
512,ENSG00000035141
513,ENSG00000035403
514,ENSG00000035499
515,ENSG00000035664
516,ENSG00000035681
517,ENSG00000035687
518,ENSG00000035720
519,ENSG00000035862
520,ENSG00000035928
521,ENSG00000036054
522,ENSG00000036257
523,ENSG00000036448
524,ENSG00000036473
525,ENSG00000036530
526,ENSG00000036549
527,ENSG00000036565
528,ENSG00000036672
529,ENSG00000036828
530,ENSG00000037042
531,ENSG00000037241
532,ENSG00000037280
533,ENSG00000037474
534,ENSG00000037637
535,ENSG00000037749
536,ENSG00000037757
537,ENSG00000037897
538,ENSG00000037965
539,ENSG00000038002
540,ENSG00000038210
541,ENSG00000038219
542,ENSG00000038274
543,ENSG00000038295
544,ENSG00000038358
545,ENSG00000038382
546,ENSG00000038427
547,ENSG00000038532
548,ENSG00000038945
549,ENSG00000039068
550,ENSG00000039123
551,ENSG00000039139
552,ENSG00000039319
553,ENSG00000039523
554,ENSG00000039537
555,ENSG00000039560
556,ENSG00000039600
557,ENSG00000039650
558,ENSG00000039987
